B::MMU.List.PageTable_0xfffff80000000000--0xfffff80400000000
__________________address________________|_physical________________________________|sec|_d_|_size____|_permissions____________________|_glb|_shr|_pageflags_(remapped)___________|
     C:FFFFF8010B884000--FFFFF8010B884FFF|     I:00000000FE133000--00000000FE133FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B885000--FFFFF8010B885FFF|     I:00000000FE132000--00000000FE132FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B886000--FFFFF8010B886FFF|     I:00000000FE131000--00000000FE131FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B887000--FFFFF8010B887FFF|     I:00000000FE130000--00000000FE130FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B888000--FFFFF8010B888FFF|     I:00000000FE12F000--00000000FE12FFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B889000--FFFFF8010B889FFF|     I:00000000FE12E000--00000000FE12EFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B88A000--FFFFF8010B88AFFF|     I:00000000FE12D000--00000000FE12DFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B88B000--FFFFF8010B88BFFF|     I:00000000FE12C000--00000000FE12CFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B88C000--FFFFF8010B88CFFF|     I:00000000FE12B000--00000000FE12BFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B88D000--FFFFF8010B88DFFF|     I:00000000FE12A000--00000000FE12AFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B88E000--FFFFF8010B88EFFF|     I:00000000FE129000--00000000FE129FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B88F000--FFFFF8010B88FFFF|     I:00000000FE128000--00000000FE128FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
